"id"	"clone_id"	"real_id"	"colony"	"maturity"	"family"
"M25"	"W8552W8258mum"	"W8552W8258mum"	"FWB"	"M"	"1"
"M6"	"W8913mum"	"W8913mum"	"FWB"	"M"	"2"
"P6"	"W8913pup"	"W8913pup"	"FWB"	"P"	"2"
"M7"	"W8914mum"	"W8914mum"	"FWB"	"M"	"3"
"P7"	"W8914pup"	"W8914pup"	"FWB"	"P"	"3"
"M8"	"W8915mum"	"W8915mum"	"FWB"	"M"	"4"
"P8"	"W8915pup"	"W8915pup"	"FWB"	"P"	"4"
"M10"	"W8916mum"	"W8916mum"	"FWB"	"M"	"5"
"M14"	"W8920mum"	"W8920mum"	"FWB"	"M"	"6"
"M16"	"W8921mum"	"W8921mum"	"FWB"	"M"	"7"
"M17"	"W8922mum"	"W8922mum"	"FWB"	"M"	"8"
"P17"	"W8922pup"	"W8922pup"	"FWB"	"P"	"8"
"M18"	"W8923mum"	"W8923mum"	"FWB"	"M"	"9"
"P18"	"W8923pup"	"W8923pup"	"FWB"	"P"	"9"
"M20"	"W8924mum"	"W8924mum"	"FWB"	"M"	"10"
"M21"	"W8925mum"	"W8925mum"	"FWB"	"M"	"11"
"P21"	"W8925pup"	"W8925pup"	"FWB"	"P"	"11"
"M23"	"W8927mum"	"W8927mum"	"FWB"	"M"	"12"
"P23"	"W8927pup"	"W8927pup"	"FWB"	"P"	"12"
"M24"	"W8928mum"	"W8928mum"	"FWB"	"M"	"13"
"P24"	"W8928pup"	"W8928pup"	"FWB"	"P"	"13"
"M30"	"W8930mum"	"W8930mum"	"FWB"	"M"	"14"
"P30"	"W8930pup"	"W8930pup"	"FWB"	"P"	"14"
"M31"	"W8931mum"	"W8931mum"	"FWB"	"M"	"15"
"P31"	"W8931pup"	"W8931pup"	"FWB"	"P"	"15"
"M33"	"W8933mum"	"W8933mum"	"FWB"	"M"	"16"
"P33"	"W8933pup"	"W8933pup"	"FWB"	"P"	"16"
"M35"	"W8935mum"	"W8935mum"	"FWB"	"M"	"17"
"P35"	"W8935pup"	"W8935pup"	"FWB"	"P"	"17"
"M36"	"W8936mum"	"W8936mum"	"FWB"	"M"	"18"
"M38"	"W8937mum"	"W8937mum"	"FWB"	"M"	"19"
"P38"	"W8937pup"	"W8937pup"	"FWB"	"P"	"19"
"M39"	"W8939mum"	"W8939mum"	"FWB"	"M"	"20"
"P3"	"AGP11022"	"W8565pup"	"SSB"	"P"	"21"
"P9"	"AGP11032"	"W8568pup"	"SSB"	"P"	"22"
"M5"	"AGF11007"	"W8569mum"	"SSB"	"M"	"23"
"P15"	"AGP11051"	"W8569pup"	"SSB"	"P"	"23"
"M19"	"AGF11008"	"W8570mum"	"SSB"	"M"	"24"
"P19"	"AGP11041"	"W8570pup"	"SSB"	"P"	"24"
"P26"	"AGP11078"	"W8571pup"	"SSB"	"P"	"25"
"M27"	"AGF11010"	"W8572mum"	"SSB"	"M"	"26"
"P27"	"AGP11065"	"W8572pup"	"SSB"	"P"	"26"
"M28"	"AGF11011"	"W8573mum"	"SSB"	"M"	"27"
"P28"	"AGP11063"	"W8573pup"	"SSB"	"P"	"27"
"M29"	"AGF11012"	"W8574mum"	"SSB"	"M"	"28"
"P29"	"AGP11079"	"W8574pup"	"SSB"	"P"	"28"
"M37"	"AGF11014"	"W8576mum"	"SSB"	"M"	"29"
"P37"	"AGP11125"	"W8576pup"	"SSB"	"P"	"29"
"P40"	"AGP11144"	"W8577pup"	"SSB"	"P"	"30"
"M41"	"AGF11016"	"W8578mum"	"SSB"	"M"	"31"
"P41"	"AGP11145"	"W8578pup"	"SSB"	"P"	"31"
"M43"	"AGF11018"	"W8580mum"	"SSB"	"M"	"32"
"M44"	"AGF11019"	"W8581mum"	"SSB"	"M"	"33"
"M45"	"AGF11020"	"W8582mum"	"SSB"	"M"	"34"
"M46"	"AGF11021"	"W8583mum"	"SSB"	"M"	"35"
"M48"	"AGF11023"	"W8585mum"	"SSB"	"M"	"36"
